"StockSymbol";"BloombergTicker";"YahooTicker";"StockName";"StockCurrency";"CountryName";"IndustryName";"SectorName";"BusinessSummary"
"BAS.DE";"BAS GY Equity";"BAS.DE";"BASF SE";"EUR";"Germany";"Chemicals";"Basic Materials";"BASF SE operates as a chemical company worldwide. It operates through six segments: Chemicals, Materials, Industrial Solutions, Surface Technologies, Nutrition & Care, and Agricultural Solutions. The Chemicals segment provides petrochemicals and intermediates. The Materials segment offers advanced materials and their precursors for applications and systems, such as isocyanates, polyamides, and inorganic basic products, as well as specialties for plastics and plastics processing industries. The Industrial Solutions segment develops and markets ingredients and additives for industrial applications, such as polymer dispersions, resins, additives, electronic materials, and antioxidants for automotive, plastics, paints and coatings, electronics, and energy and resource industries. The Surface Technologies segment provides chemical solutions and automotive OEM, which include refinish coatings, surface treatment, catalysts, battery materials, and precious and base metal services for the automotive and chemical sectors. The Nutrition & Care segment offers ingredients for consumer goods in the areas of nutrition, home, personal care, and technical applications; and serves the food and feed producers, pharmaceutical, cosmetics, detergents, cleaners, and crop protection industries. The Agricultural Solutions segment provides seeds and seed treatment products, as well as fungicides, herbicides, insecticides, and biological solutions; and digital farming solutions. The company was founded in 1865 and is headquartered in Ludwigshafen am Rhein, Germany."
"CBK.DE";"CBK GY Equity";"CBK.DE";"Commerzbank AG";"EUR";"Germany";"Banks—Regional";"Financial Services";"Commerzbank AG provides banking and capital market products and services to private and small business customers, corporate groups, financial service providers, and institutional clients in Germany and internationally. It operates through two segments, Private and Small-Business Customers, and Corporate Clients. The company offers cash services, including accounts, commercial payments, payment enabling, clearing and custody, and other services; trade services comprising documentary collection, letters of credit, guarantees, trade facilitation, supply chain financing, buyer's credit, and forfaiting services; and banking products comprising bilateral loans, club deals, Schuldschein instruments, syndicated loans, bonds, private placements and other debt instruments, and Islamic financing services. It also provides money market, and commodities risk management and precious metals services; interest, currency, and liquidity management services, as well as wealth management services. Commerzbank AG was founded in 1870 and is headquartered in Frankfurt am Main, Germany."
"VNA.DE";"VNA GY Equity";"VNA.DE";"Vonovia SE";"EUR";"Germany";"Real Estate Services";"Real Estate";"Vonovia SE operates as an integrated residential real estate company in Europe. It operates through Rental, Value-Add, Recurring Sales, and Development and Care segments. The company offers property management services; property-related services; and value-added services, including maintenance and modernization of properties, craftsmen and residential environment organization, condominium administration, cable TV, metering, energy supply, and insurances services. It also engages in the sale of individual condominiums and single-family houses; and project development activities. Additionally, it offers inpatient nursing care facilities; and leasing of nursing care properties to third parties. The company was formerly known as Deutsche Annington Immobilien SE and changed its name to Vonovia SE in August 2015. Vonovia SE was founded in 1998 and is headquartered in Bochum, Germany."
"VOW3.DE";"VOW3 GY Equity";"VOW3.DE";"Volkswagen AG";"EUR";"Germany";"Auto Manufacturers";"Consumer Cyclical";"Volkswagen AG manufactures and sells automobiles in Germany, Europe, North America, South America, the Asia-Pacific, and internationally. The company operates through four segments: Passenger Cars and Light Commercial Vehicles, Commercial Vehicles, Power Engineering, and Financial Services. The Passenger Cars and Light Commercial Vehicles segment engages in the development of vehicles, engines, and vehicle software; and production and sale of passenger cars and light commercial vehicles, and related parts. The Commercial Vehicles segment develops, produces, and sells trucks and buses; and offers parts and related services. The Power Engineering segment offers large-bore diesel engines, turbomachinery, and propulsion components. The Financial Services segment provides dealership and customer financing, leasing, banking and insurance, fleet management, and mobility services. The company also offers motorcycles. It provides its products under the Volkswagen Passenger Cars, KODA, SEAT/CUPRA, Volkswagen Commercial Vehicles, Audi, Lamborghini, Bentley, Ducati, Porsche, Scania, MAN, Volkswagen Truck & Bus, Navistar commercial vehicles, and Bugatti brand names. The company was founded in 1937 and is based in Wolfsburg, Germany. Volkswagen AG is a subsidiary of Porsche Automobil Holding SE."
"TKA.DE";"TKA GY Equity";"TKA.DE";"thyssenkrupp AG";"EUR";"Germany";"Metal Fabrication";"Industrials";"thyssenkrupp AG operates in the areas of materials services, industrial components, automotive technology, steel, and marine systems in Germany, the United States, China, and internationally. The company's Materials Services segment distributes materials and offers technical services for the production and manufacturing sectors. Its Industrial Components segment manufactures and sells forged components and system solutions for the resource, construction, and mobility sectors; and slewing rings, antifriction bearings, and seamless rolled rings for the wind energy and construction machinery sectors. The company's Automotive Technology segment develops and manufactures components and systems, as well as automation solutions for the vehicle manufacturing. Its Steel Europe segment provides flat carbon steel products, intelligent material solutions, and finished parts. The company's Marine Systems segment offers systems in the submarine and surface vessel construction, as well as in the field of maritime electronics and security technology. thyssenkrupp AG was founded in 1811 and is headquartered in Essen, Germany."
"BAYN.DE";"BAYN GY Equity";"BAYN.DE";"Bayer Aktiengesellschaft";"EUR";"Germany";"Drug Manufacturers—General";"Healthcare";"Bayer Aktiengesellschaft, together its subsidiaries, operates as a life science company worldwide. It operates through Pharmaceuticals, Consumer Health, and Crop Science segments. The Pharmaceuticals segment offers prescription products primarily for cardiology and women's health care; specialty therapeutics in the areas of oncology, hematology, and ophthalmology; and diagnostic imaging equipment and contrast agents, as well as cell and gene therapy. The Consumer Health segment markets nonprescription over-the-counter medicines, medical products, medicated skincare products, nutritional supplements, and self-care solutions in dermatology, nutritional supplements, pain and cardiovascular risk prevention, digestive health, allergy, and cold and cough. The Crop Science segment offers chemical and biological crop protection products, improved plant traits, seeds, digital solution, and pest and weed control products, as well as customer service for agriculture. This segment also provides breeding, propagation, and production/processing of seeds, including seed dressing. The company has a collaboration agreement with MD Anderson Cancer Center to develop oncology drugs; research and license agreement with Dewpoint Therapeutics, Inc. for the development of new treatments for cardiovascular and gynecological diseases; collaboration agreement with Exscientia Ltd, Foundation Medicine Inc., and Evotec AG; research collaboration with Arvinas Inc.; strategic research partnership with University of Oxford to develop novel gynecological therapies; and Kyoto University to identify new drugs candidates for the treatment of pulmonary diseases. It distributes its products through wholesalers, pharmacies and pharmacy chains, supermarkets, online and other retailers, and hospitals, as well as directly to farmers. Bayer Aktiengesellschaft was founded in 1863 and is headquartered in Leverkusen, Germany."
"HFG.DE";"HFG GY Equity";"HFG.DE";"HelloFresh SE";"EUR";"Germany";"Restaurants";"Consumer Cyclical";"HelloFresh SE, together with its subsidiaries, delivers meal kit solutions to prepare home-cooked meals using its recipes. The company offers premium meals, double portions, and others, as well as add-ons, such as soups, snacks, fruit boxes, desserts, ready-to-eat meals, and seasonal boxes. The company has operations in the United States, Australia, Austria, Belgium, Canada, Germany, France, Luxembourg, the Netherlands, New Zealand, Switzerland, Sweden, Denmark, Norway, Italy, Japan, and the United Kingdom. It operates under the HelloFresh brand; and owns the Chefs Plate, EveryPlate, Factor75, Green Chef, and YouFoodz brand names. HelloFresh SE was founded in 2011 and is headquartered in Berlin, Germany."
"ZAL.DE";"ZAL GR Equity";"ZAL.DE";"Zalando SE";"EUR";"Germany";"Internet Retail";"Consumer Cyclical";"Zalando SE operates an online platform for fashion and lifestyle products. The company operates through Fashion Store and Offprice segments. It provides shoes, apparel, accessories, and beauty products with free delivery and returns, as well as various payment options. The company also sells its products through Lounge by Zalando; and brick-and-mortar outlet stores. It operates in Germany, Austria, Switzerland, Belgium, Croatia, the Czech Republic, Denmark, Estonia, Finland, France, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom. The company was founded in 2008 and is headquartered in Berlin, Germany."
"UN01.DE";"UN01 GY Equity";"UN01.DE";"Uniper SE";"EUR";"Germany";"Utilities—Independent Power Producers";"Utilities";"Uniper SE operates as an energy company. It operates in three segments: European Generation, Global Commodities, and Russian Power Generation. The company owns and operates various power and heat generation facilities, including fossil fuel power plants, such as coal, gas, oil, and combined gas and steam; and hydroelectric, nuclear, biomass, photovoltaic, and wind power plants. It also markets energy services comprising fuel procurement, and engineering and asset management, as well as operational and maintenance services; and procures fuels, trades in emission allowances, and markets electricity. In addition, the company engages in the sale of individual power and natural gas to resellers, industrial customers, and power plant operators; energy trading activities; infrastructure investments and gas storage operations; fuel procurement for power plants; operation and management of the plants; and trade and sale of energy. Further, it trades in commodities, which comprise power, natural gas, liquefied natural gas, and coal and freight solutions; provides district heating and online gas dispatch services; operates gas storage and power-to-gas facilities in Germany, Austria, and the United Kingdom; and owns and operates marine fuel oils production facility in Fujairah. It operates in Germany, the United Kingdom, the Russian Federation, rest of Europe, and internationally. The company was founded in 2016 and is headquartered in Düsseldorf, Germany. Uniper SE operates as a subsidiary of Ubg Uniper Beteiligungsholding Gmbh."
"ENR.DE";"ENR GR Equity";"ENR.DE";"Siemens Energy AG";"EUR";"Germany";"Specialty Industrial Machinery";"Industrials";"Siemens Energy AG operates as an energy technology company worldwide. It operates in two segments, Gas and Power; and Siemens Gamesa Renewable Energy. The company provides gas and steam turbines, generators, gas engines, instrumentation and controls, and electrical systems, as well as performance enhancement, maintenance, customer training, and professional consulting services for central and distributed power generation; and transformers, air and gas-insulated switchgears, AC transmission systems, offshore windfarm grid connections, high voltage direct current transmission systems, high voltage substations, digital solutions and components, and other products. It also offers rotating equipment that includes industrial and aero-derivative gas turbines, turbo- and reciprocating compressors, power generation products, and compression trains and modules, as well as solutions in the fields of electrification, automation and digitization, plant safety, plant security, and water treatment. In addition, the company develops technologies in the fields of decarbonized energy and storage systems. Further, it offers onshore wind turbine design, engineering, manufacturing, and installation solutions for onshore markets; offshore wind turbine equipment design, manufacturing, and installation solutions; and operation and maintenance services for wind farms. The company serves utilities, independent power producers, project developers, oil and gas, transmission and distribution system operators, and industrial and infrastructure customers. Siemens Energy AG was founded in 1866 and is based in Munich, Germany."
"VAR1.DE";"VAR1 GY Equity";"VAR1.DE";"Varta AG";"EUR";"Germany";"Electrical Equipment & Parts";"Industrials";"Varta AG, through its subsidiaries, researches, develops, produces, and sells microbatteries, household batteries, and energy storage solutions worldwide. It operates in two segments, Lithium-Ion Solutions & Microbatteries and Household Batteries. The Lithium-Ion Solutions & Microbatteries segment offers zinc-air batteries primarily for use in hearing aid devices; lithium-ion battery solutions for wireless headphones; wearables, which include medical devices to measure hypertension, blood sugar, and other bodily functions, as well as the power supply for COVID19 antibody tests; and rechargeable battery solutions for industrial and original equipment manufacturers for use in various applications, such as servers, car keys, alarm systems, or smart meters. This segment is also involved in the development, system integration, and assembly of lithium-ion battery packs for portable industrial, communication devices, electric power tool, home, garden, and medical applications. The Household Batteries segment offers household batteries, rechargeable batteries, chargers, power banks, lights, and energy storage systems. The company was founded in 1887 and is headquartered in Ellwangen, Germany. Varta AG is a subsidiary of Montana Tech Components AG."
"TEG.DE";"TEG GY Equity";"TEG.DE";"TAG Immobilien AG";"EUR";"Germany";"Real Estate Services";"Real Estate";"TAG Immobilien AG, a real estate company, acquires, develops, and manages residential real estate properties in Germany. It also rents commercial real estate properties, as well as operates serviced apartments. The company was formerly known as TAG Tegernsee Immobilien-und Beteiligungs-Aktiengesellschaft and changed its name to TAG Immobilien AG in September 2008. TAG Immobilien AG was founded in 1882 and is headquartered in Hamburg, Germany."
"RWE.DE";"RWE GY Equity";"RWE.DE";"RWE Aktiengesellschaft";"EUR";"Germany";"Utilities—Diversified";"Utilities";"RWE Aktiengesellschaft generates and supplies electricity from renewable and conventional sources primarily in Germany, the United Kingdom, Europe, North America, and internationally. It operates through five segments: Offshore Wind; Onshore Wind/Solar; Hydro/Biomass/Gas; Supply & Trading; and Coal/Nuclear. The company generates wind, hydro, solar, nuclear, gas, and biomass electricity. It also trades in energy commodities; and operates gas storage facilities, as well as battery storage activities. The company serves commercial, industrial, and corporate customers. RWE Aktiengesellschaft was founded in 1898 and is headquartered in Essen, Germany."
"LEO.DE";"LEO GY Equity";"LEO.DE";"LEONI AG";"EUR";"Germany";"Electrical Equipment & Parts";"Industrials";"LEONI AG, together with its subsidiaries, provides products, solutions, and services for energy and data management in the automotive sector and other industries worldwide. It operates in two divisions, Wiring Systems, and Wire & Cable Solutions. The Wiring Systems division provides complete wiring systems and customized cable harnesses for the motor vehicle industry. Its products and services comprise cable harnesses through to integrated wiring systems, high-voltage wiring systems for hybrid and electric vehicles, energy distribution components, and special connectors, as well as related services. The Wire & Cable Solutions division manufactures and sells wire and cable systems; and provides energy transmission and data management system solutions. This segment offers a range of products and services, such as wires, strands, optical fibers, standardized cables, special cables, and fully assembled systems, as well as related services for customers in the automotive, capital goods, medical technology, telecommunications, energy, and infrastructure industries. The company was formerly known as Leonische Drahtwerke AG and changed its name to LEONI AG in 1999. The company was founded in 1569 and is headquartered in Nuremberg, Germany."
"MBG.DE";"MBG GY Equity";"MBG.DE";"Mercedes-Benz Group AG";"EUR";"Germany";"Auto Manufacturers";"Consumer Cyclical";"Mercedes-Benz Group AG operates as an automotive company in Germany and internationally. The company develops, manufactures, and sells premium and luxury cars and vans under the Mercedes-AMG, Mercedes-Benz, Mercedes-Maybach, and Mercedes-EQ brands, as well as related spare parts and accessories. It also provides financing, leasing, car subscription and rental, fleet management, insurance brokerage, and mobility services, as well as digital services for charging and payment. The company was formerly known as Daimler AG and changed its name to Mercedes-Benz Group AG in February 2022. Mercedes-Benz Group AG was founded in 1886 and is headquartered in Stuttgart, Germany."
"EOAN.DE";"EOAN GY Equity";"EOAN.DE";"E.ON SE";"EUR";"Germany";"Utilities—Diversified";"Utilities";"E.ON SE operates as an energy company in Germany, the United Kingdom, Sweden, the Netherlands, rest of Europe, and internationally. It operates through two segments, Energy Networks and Customer Solutions. The Energy Networks segment operates power and gas distribution networks, as well as provides maintenance, repairs, and related services. The Customer Solutions segment supplies power, gas, and heat, as well as with products and services that enhance energy efficiency to residential, small and medium-sized enterprises, large commercial and industrial, sales partners, and public entities. Additionally, it provides SmartSim, a software solution that allows renewable gases to be fed into gas grids; gas quality tracking solutions; GasPro, a mobile gas sample collector; metering solutions; and GasCalc, a software that calculates natural gases, LNG, and biogases properties. The company was founded in 1923 and is headquartered in Essen, Germany."
"AT1.DE";"AT1 GY Equity";"AT1.DE";"Aroundtown SA";"EUR";"Luxembourg";"Real Estate Services";"Real Estate";"Aroundtown SA, together with its subsidiaries, operates as a real estate company in Germany, the Netherlands, and London. The company invests in commercial and residential real estate properties. It also engages in hotel, office, and shopping related activities. The company was incorporated in 2004 and is based in Luxembourg, Luxembourg."
"ADJ.DE";"ADJ GY Equity";"ADJ.DE";"Adler Group S.A.";"EUR";"Luxembourg";"Real Estate Services";"Real Estate";"Adler Group S.A. engages in the purchase, management, and development of multifamily residential real estate properties in Germany. It operates through Residential Property Management, Adler RE, Consus, and Privatization segments. The company is involved in the rental and management of residential properties, including modernization and maintenance of residential properties, management of tenancy agreements, and marketing of residential units, as well as It also engages in holding, operating, and selling commercial units; and the modernization, maintenance, real estate investment, development of middle income houses, and management of non-vacant units. The company was formerly known as ADO Properties S.A. and changed its name to Adler Group S.A. in September 2020. The company was founded in 2006 and is based in Luxembourg, Luxembourg."
"RHM.DE";"RHM GY Equity";"RHM.DE";"Rheinmetall AG";"EUR";"Germany";"Aerospace & Defense";"Industrials";"Rheinmetall AG provides technologies to the mobility and security sectors worldwide. The company operates in five segments: Vehicle Systems, Weapon and Ammunition, Electronic Solutions, Sensors and Actuators, and Materials and Trade. The Vehicle Systems segment offers combat, support, logistics, and special vehicles, including armored tracked vehicles, CBRN protection systems, turret systems, and wheeled logistics and tactical vehicles. The Weapon and Ammunition segment provides threat-appropriate, effective and accurate firepower, and protection solutions, such as large and medium-caliber weapons and ammunition, protection systems, propellants and international projects and services. The Electronic Solutions segment offers a chain of systems network, such as sensors, networking platforms, automated connected effectors for soldiers, and cyberspace protection solutions, and training and simulation solutions. Its products include air defense systems; soldier systems; command, control, and reconnaissance systems; fire control systems; sensors; and simulations for the army, air force, navy, and civil applications. The Sensors and Actuators segment provides a portfolio of products comprising exhaust gas recirculation systems; throttle valves, control dampers, and exhaust flaps for electromotors; solenoid valves; actuators and valve train systems; oil, water, and vacuum pumps for passenger cars, commercial vehicles, and light and heavy-duty off-road applications; and industrial solutions. The Materials and Trade segment focuses on the development of system components for the basic motors, such as engine blocks, structural components, and cylinder heads; plain bearings, and bushes; and replacement parts. It also engages in the aftermarket activities. The company was formerly known as Rheinmetall Berlin AG and changed its name to Rheinmetall AG in 1996. Rheinmetall AG was founded in 1889 and is headquartered in Düsseldorf, Germany."
"NA9.DE";"NA9 GF Equity";"NA9.DE";"Nagarro SE";"EUR";"Germany";"Information Technology Services";"Technology";"Nagarro SE, a digital engineering company, provides digital engineering and technology solutions in North America, Central Europe, rest of Europe, and internationally. The company offers agile; API management; application development and management; application manages services; accelerated quality and test engineering; and artificial intelligence, data and analytics, blockchain, cloud, CRM, customer communications, design, DevOps, digital commerce solutions, digital ventures, ECM and portals, embedded systems, enterprise architecture consulting, ERP, identity and access management, innovation, internet of things, process consulting, low coding, mainframe and legacy, mobility solutions, trainings, product engineering, security, technical communications, and transformation and modernization services. It serves customers in automotive, banking and financial services, energy and utilities, gaming and entertainment, industry and automation, insurance, ISV, life sciences and healthcare, media and publishing, non-profits and education, public sector, retail and CPG, telecom, and travel and smart buildings industries. The company was founded in 1996 and is based in Munich, Germany."
"CON.DE";"CON GY Equity";"CON.DE";"Continental Aktiengesellschaft";"EUR";"Germany";"Auto Parts";"Consumer Cyclical";"Continental Aktiengesellschaft, a technology company, offers intelligent solutions for vehicles, machines, traffic, and transportation worldwide. It operates through four sectors: Automotive, Tires, ContiTech, and Contract Manufacturing. The company offers safety, brake, chassis, motion, and motion control systems; solutions for assisted and automated driving; and audio and camera solutions for the vehicle interior, as well as intelligent information and communication technology solutions. It also provides tires for cars, trucks, buses, two-wheel and specialist vehicles, bicycles, and motor vehicles, as well as digital tire monitoring and management systems; and engages in retail of tires. In addition, the company develops and manufactures cross-material, environmentally friendly, and intelligent products and systems for automotive, railway engineering, mining, agriculture, and other industries, as well as provides contract manufacturing services. The company was formerly known as Continental-Caoutchouc- und Gutta-Percha Compagnie. Continental Aktiengesellschaft was founded in 1871 and is headquartered in Hanover, Germany."
